empresa,titulo,link,data_abertura,data_fechamento
OLX,Banco de Talentos Tecnologia e Dados para Pessoas com Deficiência - Vem ser grupo OLX ;),https://vemsergrupoolx.gupy.io/jobs/9503951?jobBoardSource=gupy_public_page,2025-07-11,
Boticário,Product Manager Especialista l (Venda Direta),https://grupoboticario.gupy.io/jobs/9506817?jobBoardSource=gupy_public_page,2025-07-14,
AmbevTech,[Ambev Global Tech] Senior SAP Master Data Management Specialist,https://ambevtech.gupy.io/jobs/9382901?jobBoardSource=gupy_public_page,2025-07-14,
AmbevTech,[Ambev Global Tech] Senior Master Data Integration & Interoperability Specialist,https://ambevtech.gupy.io/jobs/9383465?jobBoardSource=gupy_public_page,2025-07-14,
AmbevTech,[Ambev Global Tech] Product Owner SAP PP/PM.,https://ambevtech.gupy.io/jobs/9511158?jobBoardSource=gupy_public_page,2025-07-14,
Itaú,Analista de Produtos Digitais Pleno - São Paulo/SP (Vaga Afirmativa PcD),https://vemproitau.gupy.io/jobs/9416675?jobBoardSource=gupy_public_page,2025-07-14,
Boticário,Pessoa Desenvolvedora Especialista I (Node.js e React) - Produtos Financeiros,https://grupoboticario.gupy.io/jobs/9471568?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Analista II de Dados (Gestão do Consumidor),https://grupoboticario.gupy.io/jobs/9500191?jobBoardSource=gupy_public_page,2025-07-15,
Itaú,ANALISTA DE PRODUTOS DIGITAIS SR - SHARED EXPERIENCE - SÃO PAULO - SP,https://vemproitau.gupy.io/jobs/9491907?jobBoardSource=gupy_public_page,2025-07-15,
AmbevTech,[Ambev Global Tech] Analytics Consultant,https://ambevtech.gupy.io/jobs/8704152?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Analista III de Dados (Gestão do Consumidor),https://grupoboticario.gupy.io/jobs/9479502?jobBoardSource=gupy_public_page,2025-07-15,
AmbevTech,[Ambev Global Tech] Especialista de Monitoramento e Governança de Dados,https://ambevtech.gupy.io/jobs/9520393?jobBoardSource=gupy_public_page,2025-07-15,
C&A,Pessoa Coordenadora de Analytics (CRM),https://cea.gupy.io/jobs/9122375?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Analista III - Produto Business Solar,https://grupoboticario.gupy.io/jobs/9511421?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Especialista em Marketing de Produtos Financeiros I,https://grupoboticario.gupy.io/jobs/9503831?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Cientista de Dados Analista III - (Diretoria de Dados),https://grupoboticario.gupy.io/jobs/9459648?jobBoardSource=gupy_public_page,2025-07-15,
Boticário,Analista de Engenharia de Produtos III - São José dos Pinhais/PR,https://grupoboticario.gupy.io/jobs/9507252?jobBoardSource=gupy_public_page,2025-07-16,
Boticário,Associate Product Manager III - (Ecommerce),https://grupoboticario.gupy.io/jobs/9483919?jobBoardSource=gupy_public_page,2025-07-16,
